order_id,order_item_id,product_id,seller_id,quantity,price_bdt,freight_value_bdt,shipping_limit_days
O000058,1,P0090,S0006,1,5790.80,43.45,6
O000058,2,P0093,S0013,3,7830.30,43.56,9
O000059,1,P0007,S0017,2,2276.40,43.68,5
O000059,2,P0010,S0024,1,5739.30,43.79,8
O000060,1,P0024,S0028,3,12143.40,43.91,4
O000060,2,P0027,S0035,2,5983.80,44.02,7
O000061,1,P0041,S0039,1,7477.10,44.14,3
O000061,2,P0044,S0006,3,1102.80,44.25,6
O000062,1,P0058,S0010,2,12397.00,44.37,2
O000063,1,P0075,S0021,3,1091.40,44.60,1
O000064,1,P0092,S0032,1,7371.20,44.83,10
O000065,1,P0009,S0003,2,10781.80,45.06,9
O000066,1,P0026,S0014,3,10192.20,45.29,8
O000067,1,P0043,S0025,1,4308.00,45.52,7
O000067,2,P0046,S0032,3,24735.00,45.63,10
O000068,1,P0060,S0036,2,1418.60,45.75,6
O000069,1,P0077,S0007,3,8612.10,45.98,5
O000070,1,P0094,S0018,1,3935.00,46.21,4
O000071,1,P0011,S0029,2,6896.00,46.44,3
O000072,1,P0028,S0040,3,6904.50,46.67,2
O000072,2,P0031,S0007,2,11944.80,46.78,5
O000073,1,P0045,S0011,1,6027.20,46.90,1
O000073,2,P0048,S0018,3,21865.20,47.01,4
O000073,3,P0051,S0025,2,12374.00,47.12,7
O000074,1,P0062,S0022,2,15434.00,47.13,10
O000074,2,P0065,S0029,1,6707.90,47.24,3
O000075,1,P0079,S0033,3,19341.90,47.36,9
O000075,2,P0082,S0040,2,8413.00,47.47,2
O000076,1,P0096,S0004,1,6005.70,47.59,8
O000077,1,P0013,S0015,2,9406.40,47.82,7
O000078,1,P0030,S0026,3,5087.40,48.05,6
O000079,1,P0047,S0037,1,4235.80,48.28,5
O000080,1,P0064,S0008,2,15352.40,48.51,4
O000081,1,P0081,S0019,3,8928.90,48.74,3
O000082,1,P0098,S0030,1,3524.20,48.97,2
O000082,2,P0001,S0037,3,3771.90,49.08,5
O000083,1,P0015,S0001,2,13822.20,49.20,1
O000084,1,P0032,S0012,3,11761.50,49.43,10
O000085,1,P0049,S0023,1,3640.80,49.66,9
O000086,1,P0066,S0034,2,16612.20,49.89,8
O000086,2,P0069,S0001,1,3199.70,50.00,1
O000087,1,P0083,S0005,3,16525.50,50.12,7
O000087,2,P0086,S0012,2,3869.20,50.23,10
O000088,1,P0100,S0016,1,4801.00,50.35,6
O000088,2,P0003,S0023,3,6395.70,50.46,9
O000089,1,P0017,S0027,2,15120.40,50.58,5
O000089,2,P0020,S0034,1,7368.00,50.69,8
O000090,1,P0034,S0038,3,1225.80,50.81,4
O000091,1,P0051,S0009,1,6187.00,51.04,3
O000091,2,P0054,S0016,3,7534.20,51.15,6
O000092,1,P0068,S0020,2,2462.00,51.27,2
O000093,1,P0085,S0031,3,25107.30,51.50,1
O000094,1,P0002,S0002,1,1185.30,51.73,10
O000095,1,P0019,S0013,2,4275.00,51.96,9
O000096,1,P0036,S0024,3,14234.40,52.19,8
O000097,1,P0053,S0035,1,5412.40,52.42,7
O000098,1,P0070,S0006,2,7195.00,52.65,6
O000099,1,P0087,S0017,3,17090.70,52.88,5
O000100,1,P0004,S0028,1,5646.60,53.11,4
O000100,2,P0007,S0035,3,3414.60,53.22,7
O000100,3,P0010,S0002,2,11478.60,53.33,10
O000101,1,P0021,S0039,2,1735.60,53.34,3
O000101,2,P0024,S0006,1,4047.80,53.45,6
O000102,1,P0038,S0010,3,12468.90,53.57,2
O000102,2,P0041,S0017,2,14954.20,53.68,5
O000103,1,P0055,S0021,1,1635.60,53.80,1
O000103,2,P0058,S0028,3,18595.50,53.91,4
O000104,1,P0072,S0032,2,10163.60,54.03,10
O000104,2,P0075,S0039,1,363.80,54.14,3
O000105,1,P0089,S0003,3,23482.20,54.26,9
O000106,1,P0006,S0014,1,2614.70,54.49,8
O000107,1,P0023,S0025,2,13228.20,54.72,7
O000108,1,P0040,S0036,3,12018.60,54.95,6
O000109,1,P0057,S0007,1,6400.70,55.18,5
O000110,1,P0074,S0018,2,6978.60,55.41,4
O000111,1,P0091,S0029,3,22860.00,55.64,3
O000112,1,P0008,S0040,1,4720.30,55.87,2
O000113,1,P0025,S0011,2,14889.40,56.10,1
O000114,1,P0042,S0022,3,16995.00,56.33,10
O000115,1,P0059,S0033,1,7728.50,56.56,9
O000115,2,P0062,S0040,3,23151.00,56.67,2
O000116,1,P0076,S0004,2,15708.60,56.79,8
O000116,2,P0079,S0011,1,6447.30,56.90,1
O000117,1,P0093,S0015,3,7830.30,57.02,7
O000117,2,P0096,S0022,2,12011.40,57.13,10
O000118,1,P0010,S0026,1,5739.30,57.25,6
O000118,2,P0013,S0033,3,14109.60,57.36,9
O000119,1,P0027,S0037,2,5983.80,57.48,5
O000120,1,P0044,S0008,3,1102.80,57.71,4
O000121,1,P0061,S0019,1,6391.00,57.94,3
O000122,1,P0078,S0030,2,9737.00,58.17,2
O000123,1,P0095,S0001,3,22884.60,58.40,1
O000124,1,P0012,S0012,1,2057.50,58.63,10
O000125,1,P0029,S0023,2,14001.20,58.86,9
O000126,1,P0046,S0034,3,24735.00,59.09,8
O000127,1,P0063,S0005,1,3852.80,59.32,7
O000128,1,P0080,S0016,2,5653.20,59.55,6
O000129,1,P0097,S0027,3,14316.90,59.78,5
O000129,2,P0100,S0034,2,9602.00,59.89,8
O000130,1,P0014,S0038,1,8414.60,60.01,4
O000130,2,P0017,S0005,3,22680.60,60.12,7
O000131,1,P0031,S0009,2,11944.80,60.24,3
O000131,2,P0034,S0016,1,408.60,60.35,6
O000132,1,P0048,S0020,3,21865.20,60.47,2
O000132,2,P0051,S0027,2,12374.00,60.58,5
O000133,1,P0065,S0031,1,6707.90,60.70,1
O000134,1,P0082,S0002,2,8413.00,60.93,10
O000134,2,P0085,S0009,1,8369.10,61.04,3
O000135,1,P0099,S0013,3,8351.10,61.16,9
O000136,1,P0016,S0024,1,7492.40,61.39,8
O000137,1,P0033,S0035,2,1743.60,61.62,7
O000138,1,P0050,S0006,3,17122.80,61.85,6
O000139,1,P0067,S0017,1,7884.60,62.08,5
O000140,1,P0084,S0028,2,4361.60,62.31,4
O000141,1,P0001,S0039,3,3771.90,62.54,3
O000142,1,P0018,S0010,1,6421.70,62.77,2
O000143,1,P0035,S0021,2,1855.00,63.00,1
O000143,2,P0038,S0028,1,4156.30,63.11,4
O000144,1,P0052,S0032,3,16832.40,63.23,10
O000144,2,P0055,S0039,2,3271.20,63.34,3
O000145,1,P0069,S0003,1,3199.70,63.46,9
O000145,2,P0072,S0010,3,15245.40,63.57,2
O000146,1,P0086,S0014,2,3869.20,63.69,8
O000146,2,P0089,S0021,1,7827.40,63.80,1
O000147,1,P0003,S0025,3,6395.70,63.92,7
O000147,2,P0006,S0032,2,5229.40,64.03,10
O000148,1,P0020,S0036,1,7368.00,64.15,6
O000149,1,P0037,S0007,2,3803.60,64.38,5
O000150,1,P0054,S0018,3,7534.20,64.61,4
O000151,1,P0071,S0029,1,4501.70,64.84,3
O000152,1,P0088,S0040,2,13807.00,65.07,2
O000153,1,P0005,S0011,3,20840.70,65.30,1
O000154,1,P0022,S0022,1,7365.40,65.53,10
O000155,1,P0039,S0033,2,6230.60,65.76,9
O000156,1,P0056,S0004,3,8369.70,65.99,8
O000157,1,P0073,S0015,1,3167.30,66.22,7
O000158,1,P0090,S0026,2,11581.60,66.45,6
O000158,2,P0093,S0033,1,2610.10,66.56,9
O000159,1,P0007,S0037,3,3414.60,66.68,5
O000159,2,P0010,S0004,2,11478.60,66.79,8
O000160,1,P0024,S0008,1,4047.80,66.91,4
O000160,2,P0027,S0015,3,8975.70,67.02,7
O000161,1,P0041,S0019,2,14954.20,67.14,3
O000161,2,P0044,S0026,1,367.60,67.25,6
O000162,1,P0058,S0030,3,18595.50,67.37,2
O000163,1,P0075,S0001,1,363.80,67.60,1
O000164,1,P0092,S0012,2,14742.40,67.83,10
O000165,1,P0009,S0023,3,16172.70,68.06,9
O000166,1,P0026,S0034,1,3397.40,68.29,8
O000167,1,P0043,S0005,2,8616.00,68.52,7
O000168,1,P0060,S0016,3,2127.90,68.75,6
O000169,1,P0077,S0027,1,2870.70,68.98,5
O000170,1,P0094,S0038,2,7870.00,69.21,4
O000171,1,P0011,S0009,3,10344.00,69.44,3
O000172,1,P0028,S0020,1,2301.50,69.67,2
O000172,2,P0031,S0027,3,17917.20,69.78,5
O000173,1,P0045,S0031,2,12054.40,69.90,1
O000173,2,P0048,S0038,1,7288.40,70.01,4
O000173,3,P0051,S0005,3,18561.00,70.12,7
O000174,1,P0062,S0002,3,23151.00,70.13,10
O000174,2,P0065,S0009,2,13415.80,70.24,3
O000175,1,P0079,S0013,1,6447.30,70.36,9
O000175,2,P0082,S0020,3,12619.50,70.47,2
O000176,1,P0096,S0024,2,12011.40,70.59,8
O000177,1,P0013,S0035,3,14109.60,70.82,7
O000178,1,P0030,S0006,1,1695.80,71.05,6
O000179,1,P0047,S0017,2,8471.60,71.28,5
O000180,1,P0064,S0028,3,23028.60,71.51,4
O000181,1,P0081,S0039,1,2976.30,71.74,3
O000182,1,P0098,S0010,2,7048.40,71.97,2
O000182,2,P0001,S0017,1,1257.30,72.08,5
O000183,1,P0015,S0021,3,20733.30,72.20,1
O000184,1,P0032,S0032,1,3920.50,72.43,10
O000185,1,P0049,S0003,2,7281.60,72.66,9
O000186,1,P0066,S0014,3,24918.30,72.89,8
O000186,2,P0069,S0021,2,6399.40,73.00,1
O000187,1,P0083,S0025,1,5508.50,73.12,7
O000187,2,P0086,S0032,3,5803.80,73.23,10
O000188,1,P0100,S0036,2,9602.00,73.35,6
O000188,2,P0003,S0003,1,2131.90,73.46,9
O000189,1,P0017,S0007,3,22680.60,73.58,5
O000189,2,P0020,S0014,2,14736.00,73.69,8
O000190,1,P0034,S0018,1,408.60,73.81,4
O000191,1,P0051,S0029,2,12374.00,74.04,3
O000191,2,P0054,S0036,1,2511.40,74.15,6
O000192,1,P0068,S0040,3,3693.00,74.27,2
O000193,1,P0085,S0011,1,8369.10,74.50,1
O000194,1,P0002,S0022,2,2370.60,74.73,10
O000195,1,P0019,S0033,3,6412.50,74.96,9
O000196,1,P0036,S0004,1,4744.80,75.19,8
O000197,1,P0053,S0015,2,10824.80,75.42,7
O000198,1,P0070,S0026,3,10792.50,75.65,6
O000199,1,P0087,S0037,1,5696.90,75.88,5
O000200,1,P0004,S0008,2,11293.20,76.11,4
O000200,2,P0007,S0015,1,1138.20,76.22,7
O000200,3,P0010,S0022,3,17217.90,76.33,10
O000201,1,P0021,S0019,3,2603.40,76.34,3
O000201,2,P0024,S0026,2,8095.60,76.45,6
O000201,3,P0027,S0033,1,2991.90,76.56,9
O000202,1,P0038,S0030,1,4156.30,76.57,2
O000202,2,P0041,S0037,3,22431.30,76.68,5
O000203,1,P0055,S0001,2,3271.20,76.80,1
O000203,2,P0058,S0008,1,6198.50,76.91,4
O000204,1,P0072,S0012,3,15245.40,77.03,10
O000204,2,P0075,S0019,2,727.60,77.14,3
O000205,1,P0089,S0023,1,7827.40,77.26,9
O000206,1,P0006,S0034,2,5229.40,77.49,8
O000207,1,P0023,S0005,3,19842.30,77.72,7
O000208,1,P0040,S0016,1,4006.20,77.95,6
O000209,1,P0057,S0027,2,12801.40,78.18,5
O000210,1,P0074,S0038,3,10467.90,78.41,4
O000211,1,P0091,S0009,1,7620.00,78.64,3
O000212,1,P0008,S0020,2,9440.60,78.87,2
O000213,1,P0025,S0031,3,22334.10,79.10,1
O000214,1,P0042,S0002,1,5665.00,79.33,10
O000215,1,P0059,S0013,2,15457.00,79.56,9
O000215,2,P0062,S0020,1,7717.00,79.67,2
O000216,1,P0076,S0024,3,23562.90,79.79,8
O000216,2,P0079,S0031,2,12894.60,79.90,1
O000217,1,P0093,S0035,1,2610.10,80.02,7
O000217,2,P0096,S0002,3,18017.10,80.13,10
O000218,1,P0010,S0006,2,11478.60,80.25,6
O000218,2,P0013,S0013,1,4703.20,80.36,9
O000219,1,P0027,S0017,3,8975.70,80.48,5
O000220,1,P0044,S0028,1,367.60,80.71,4
O000221,1,P0061,S0039,2,12782.00,80.94,3
O000222,1,P0078,S0010,3,14605.50,81.17,2
O000223,1,P0095,S0021,1,7628.20,81.40,1
O000224,1,P0012,S0032,2,4115.00,81.63,10
O000225,1,P0029,S0003,3,21001.80,81.86,9
O000226,1,P0046,S0014,1,8245.00,82.09,8
O000227,1,P0063,S0025,2,7705.60,82.32,7
O000228,1,P0080,S0036,3,8479.80,82.55,6
O000229,1,P0097,S0007,1,4772.30,82.78,5
O000229,2,P0100,S0014,3,14403.00,82.89,8
O000230,1,P0014,S0018,2,16829.20,83.01,4
O000230,2,P0017,S0025,1,7560.20,83.12,7
O000231,1,P0031,S0029,3,17917.20,83.24,3
O000231,2,P0034,S0036,2,817.20,83.35,6
O000232,1,P0048,S0040,1,7288.40,83.47,2
O000232,2,P0051,S0007,3,18561.00,83.58,5
O000233,1,P0065,S0011,2,13415.80,83.70,1
O000234,1,P0082,S0022,3,12619.50,83.93,10
O000235,1,P0099,S0033,1,2783.70,84.16,9
O000236,1,P0016,S0004,2,14984.80,84.39,8
O000237,1,P0033,S0015,3,2615.40,84.62,7
O000238,1,P0050,S0026,1,5707.60,84.85,6
O000239,1,P0067,S0037,2,15769.20,85.08,5
O000240,1,P0084,S0008,3,6542.40,85.31,4
O000241,1,P0001,S0019,1,1257.30,85.54,3
O000242,1,P0018,S0030,2,12843.40,85.77,2
O000243,1,P0035,S0001,3,2782.50,86.00,1
O000243,2,P0038,S0008,2,8312.60,86.11,4
O000244,1,P0052,S0012,1,5610.80,86.23,10
O000244,2,P0055,S0019,3,4906.80,86.34,3
O000245,1,P0069,S0023,2,6399.40,86.46,9
O000245,2,P0072,S0030,1,5081.80,86.57,2
O000246,1,P0086,S0034,3,5803.80,86.69,8
O000246,2,P0089,S0001,2,15654.80,86.80,1
O000247,1,P0003,S0005,1,2131.90,86.92,7
O000247,2,P0006,S0012,3,7844.10,87.03,10
O000248,1,P0020,S0016,2,14736.00,87.15,6
O000249,1,P0037,S0027,3,5705.40,87.38,5
O000250,1,P0054,S0038,1,2511.40,87.61,4
O000251,1,P0071,S0009,2,9003.40,87.84,3
O000252,1,P0088,S0020,3,20710.50,88.07,2
O000253,1,P0005,S0031,1,6946.90,88.30,1
O000254,1,P0022,S0002,2,14730.80,88.53,10
O000255,1,P0039,S0013,3,9345.90,88.76,9
O000256,1,P0056,S0024,1,2789.90,88.99,8
O000257,1,P0073,S0035,2,6334.60,89.22,7
O000258,1,P0090,S0006,3,17372.40,89.45,6
O000258,2,P0093,S0013,2,5220.20,89.56,9
O000259,1,P0007,S0017,1,1138.20,89.68,5
O000259,2,P0010,S0024,3,17217.90,89.79,8
O000260,1,P0024,S0028,2,8095.60,89.91,4
O000260,2,P0027,S0035,1,2991.90,90.02,7
O000261,1,P0041,S0039,3,22431.30,90.14,3
O000261,2,P0044,S0006,2,735.20,90.25,6
O000262,1,P0058,S0010,1,6198.50,90.37,2
O000263,1,P0075,S0021,2,727.60,90.60,1
O000264,1,P0092,S0032,3,22113.60,90.83,10
O000265,1,P0009,S0003,1,5390.90,91.06,9
O000266,1,P0026,S0014,2,6794.80,91.29,8
O000267,1,P0043,S0025,3,12924.00,91.52,7
O000268,1,P0060,S0036,1,709.30,91.75,6
O000268,2,P0063,S0003,3,11558.40,91.86,9
O000269,1,P0077,S0007,2,5741.40,91.98,5
O000270,1,P0094,S0018,3,11805.00,92.21,4
O000271,1,P0011,S0029,1,3448.00,92.44,3
O000272,1,P0028,S0040,2,4603.00,92.67,2
O000272,2,P0031,S0007,1,5972.40,92.78,5
O000273,1,P0045,S0011,3,18081.60,92.90,1
O000273,2,P0048,S0018,2,14576.80,93.01,4
O000273,3,P0051,S0025,1,6187.00,93.12,7
O000274,1,P0062,S0022,1,7717.00,93.13,10
O000274,2,P0065,S0029,3,20123.70,93.24,3
O000275,1,P0079,S0033,2,12894.60,93.36,9
O000275,2,P0082,S0040,1,4206.50,93.47,2
O000276,1,P0096,S0004,3,18017.10,93.59,8
O000277,1,P0013,S0015,1,4703.20,93.82,7
O000278,1,P0030,S0026,2,3391.60,94.05,6
O000279,1,P0047,S0037,3,12707.40,94.28,5
O000280,1,P0064,S0008,1,7676.20,94.51,4
O000281,1,P0081,S0019,2,5952.60,94.74,3
O000282,1,P0098,S0030,3,10572.60,94.97,2
O000282,2,P0001,S0037,2,2514.60,95.08,5
O000283,1,P0015,S0001,1,6911.10,95.20,1
O000284,1,P0032,S0012,2,7841.00,95.43,10
O000285,1,P0049,S0023,3,10922.40,95.66,9
O000286,1,P0066,S0034,1,8306.10,95.89,8
O000286,2,P0069,S0001,3,9599.10,96.00,1
O000287,1,P0083,S0005,2,11017.00,96.12,7
O000287,2,P0086,S0012,1,1934.60,96.23,10
O000288,1,P0100,S0016,3,14403.00,96.35,6
O000288,2,P0003,S0023,2,4263.80,96.46,9
O000289,1,P0017,S0027,1,7560.20,96.58,5
O000289,2,P0020,S0034,3,22104.00,96.69,8
O000290,1,P0034,S0038,2,817.20,96.81,4
O000291,1,P0051,S0009,3,18561.00,97.04,3
O000291,2,P0054,S0016,2,5022.80,97.15,6
O000292,1,P0068,S0020,1,1231.00,97.27,2
O000293,1,P0085,S0031,2,16738.20,97.50,1
O000294,1,P0002,S0002,3,3555.90,97.73,10
O000295,1,P0019,S0013,1,2137.50,97.96,9
O000296,1,P0036,S0024,2,9489.60,98.19,8
O000297,1,P0053,S0035,3,16237.20,98.42,7
O000298,1,P0070,S0006,1,3597.50,98.65,6
O000299,1,P0087,S0017,2,11393.80,98.88,5
O000300,1,P0004,S0028,3,16939.80,99.11,4
O000300,2,P0007,S0035,2,2276.40,99.22,7
O000300,3,P0010,S0002,1,5739.30,99.33,10
O000301,1,P0021,S0039,1,867.80,99.34,3
O000301,2,P0024,S0006,3,12143.40,99.45,6
O000302,1,P0038,S0010,2,8312.60,99.57,2
O000302,2,P0041,S0017,1,7477.10,99.68,5
O000303,1,P0055,S0021,3,4906.80,99.80,1
O000303,2,P0058,S0028,2,12397.00,99.91,4
O000304,1,P0072,S0032,1,5081.80,30.02,10
O000304,2,P0075,S0039,3,1091.40,30.13,3
O000305,1,P0089,S0003,2,15654.80,30.25,9
O000306,1,P0006,S0014,3,7844.10,30.48,8
O000307,1,P0023,S0025,1,6614.10,30.71,7
O000308,1,P0040,S0036,2,8012.40,30.94,6
O000309,1,P0057,S0007,3,19202.10,31.17,5
O000310,1,P0074,S0018,1,3489.30,31.40,4
O000311,1,P0091,S0029,2,15240.00,31.63,3
O000312,1,P0008,S0040,3,14160.90,31.86,2
O000313,1,P0025,S0011,1,7444.70,32.09,1
O000314,1,P0042,S0022,2,11330.00,32.32,10
O000315,1,P0059,S0033,3,23185.50,32.55,9
O000315,2,P0062,S0040,2,15434.00,32.66,2
O000316,1,P0076,S0004,1,7854.30,32.78,8
O000316,2,P0079,S0011,3,19341.90,32.89,1
O000317,1,P0093,S0015,2,5220.20,33.01,7
O000317,2,P0096,S0022,1,6005.70,33.12,10
O000318,1,P0010,S0026,3,17217.90,33.24,6
O000318,2,P0013,S0033,2,9406.40,33.35,9
O000319,1,P0027,S0037,1,2991.90,33.47,5
O000320,1,P0044,S0008,2,735.20,33.70,4
O000321,1,P0061,S0019,3,19173.00,33.93,3
O000322,1,P0078,S0030,1,4868.50,34.16,2
O000323,1,P0095,S0001,2,15256.40,34.39,1
O000324,1,P0012,S0012,3,6172.50,34.62,10
O000325,1,P0029,S0023,1,7000.60,34.85,9
O000326,1,P0046,S0034,2,16490.00,35.08,8
O000327,1,P0063,S0005,3,11558.40,35.31,7
O000328,1,P0080,S0016,1,2826.60,35.54,6
O000329,1,P0097,S0027,2,9544.60,35.77,5
O000329,2,P0100,S0034,1,4801.00,35.88,8
O000330,1,P0014,S0038,3,25243.80,36.00,4
O000330,2,P0017,S0005,2,15120.40,36.11,7
O000331,1,P0031,S0009,1,5972.40,36.23,3
O000331,2,P0034,S0016,3,1225.80,36.34,6
O000332,1,P0048,S0020,2,14576.80,36.46,2
O000332,2,P0051,S0027,1,6187.00,36.57,5
O000333,1,P0065,S0031,3,20123.70,36.69,1
O000334,1,P0082,S0002,1,4206.50,36.92,10
O000335,1,P0099,S0013,2,5567.40,37.15,9
O000335,2,P0002,S0020,1,1185.30,37.26,2
O000336,1,P0016,S0024,3,22477.20,37.38,8
O000337,1,P0033,S0035,1,871.80,37.61,7
O000338,1,P0050,S0006,2,11415.20,37.84,6
O000339,1,P0067,S0017,3,23653.80,38.07,5
O000340,1,P0084,S0028,1,2180.80,38.30,4
O000341,1,P0001,S0039,2,2514.60,38.53,3
O000342,1,P0018,S0010,3,19265.10,38.76,2
O000343,1,P0035,S0021,1,927.50,38.99,1
O000343,2,P0038,S0028,3,12468.90,39.10,4
O000344,1,P0052,S0032,2,11221.60,39.22,10
O000344,2,P0055,S0039,1,1635.60,39.33,3
O000345,1,P0069,S0003,3,9599.10,39.45,9
O000345,2,P0072,S0010,2,10163.60,39.56,2
O000346,1,P0086,S0014,1,1934.60,39.68,8
O000346,2,P0089,S0021,3,23482.20,39.79,1
O000347,1,P0003,S0025,2,4263.80,39.91,7
O000347,2,P0006,S0032,1,2614.70,40.02,10
O000348,1,P0020,S0036,3,22104.00,40.14,6
O000349,1,P0037,S0007,1,1901.80,40.37,5
O000350,1,P0054,S0018,2,5022.80,40.60,4
O000351,1,P0071,S0029,3,13505.10,40.83,3
O000352,1,P0088,S0040,1,6903.50,41.06,2
O000353,1,P0005,S0011,2,13893.80,41.29,1
O000354,1,P0022,S0022,3,22096.20,41.52,10
O000355,1,P0039,S0033,1,3115.30,41.75,9
O000356,1,P0056,S0004,2,5579.80,41.98,8
O000357,1,P0073,S0015,3,9501.90,42.21,7
O000358,1,P0090,S0026,1,5790.80,42.44,6
O000358,2,P0093,S0033,3,7830.30,42.55,9
O000359,1,P0007,S0037,2,2276.40,42.67,5
O000359,2,P0010,S0004,1,5739.30,42.78,8
O000360,1,P0024,S0008,3,12143.40,42.90,4
O000360,2,P0027,S0015,2,5983.80,43.01,7
O000361,1,P0041,S0019,1,7477.10,43.13,3
O000361,2,P0044,S0026,3,1102.80,43.24,6
O000362,1,P0058,S0030,2,12397.00,43.36,2
O000363,1,P0075,S0001,3,1091.40,43.59,1
O000364,1,P0092,S0012,1,7371.20,43.82,10
O000365,1,P0009,S0023,2,10781.80,44.05,9
O000366,1,P0026,S0034,3,10192.20,44.28,8
O000367,1,P0043,S0005,1,4308.00,44.51,7
O000368,1,P0060,S0016,2,1418.60,44.74,6
O000369,1,P0077,S0027,3,8612.10,44.97,5
O000370,1,P0094,S0038,1,3935.00,45.20,4
O000371,1,P0011,S0009,2,6896.00,45.43,3
O000372,1,P0028,S0020,3,6904.50,45.66,2
O000372,2,P0031,S0027,2,11944.80,45.77,5
O000373,1,P0045,S0031,1,6027.20,45.89,1
O000373,2,P0048,S0038,3,21865.20,46.00,4
O000373,3,P0051,S0005,2,12374.00,46.11,7
O000374,1,P0062,S0002,2,15434.00,46.12,10
O000374,2,P0065,S0009,1,6707.90,46.23,3
O000375,1,P0079,S0013,3,19341.90,46.35,9
O000375,2,P0082,S0020,2,8413.00,46.46,2
O000376,1,P0096,S0024,1,6005.70,46.58,8
O000377,1,P0013,S0035,2,9406.40,46.81,7
O000378,1,P0030,S0006,3,5087.40,47.04,6
O000379,1,P0047,S0017,1,4235.80,47.27,5
O000380,1,P0064,S0028,2,15352.40,47.50,4
O000381,1,P0081,S0039,3,8928.90,47.73,3
O000382,1,P0098,S0010,1,3524.20,47.96,2
