order_id,payment_sequential,payment_type,payment_installments,payment_value_bdt
O000143,1,nagad,2,5091.33
O000144,1,cash_on_delivery,1,5228.64
O000145,1,credit_card,6,5365.95
O000146,1,bank_transfer,5,5502.26
O000147,1,bkash,4,5639.57
O000148,1,bkash,3,5776.88
O000149,1,bkash,2,5913.19
O000150,1,nagad,1,6050.50
O000151,1,nagad,6,6187.81
O000152,1,cash_on_delivery,1,6324.12
O000153,1,credit_card,4,6461.43
O000154,1,bkash,3,6598.74
O000155,1,bkash,2,6735.05
O000156,1,bkash,1,6872.36
O000157,1,nagad,6,7009.67
O000158,1,nagad,5,7146.98
O000159,1,cash_on_delivery,1,7283.29
O000160,1,cash_on_delivery,1,7420.60
O000161,1,credit_card,2,7557.91
O000162,1,bkash,1,7694.22
O000163,1,bkash,6,7831.53
O000164,1,bkash,5,7968.84
O000165,1,nagad,4,8105.15
O000166,1,nagad,3,8242.46
O000167,1,cash_on_delivery,1,8379.77
O000168,1,cash_on_delivery,1,8516.08
O000169,1,bank_transfer,6,8653.39
O000170,1,bkash,5,8790.70
O000171,1,bkash,4,8927.01
O000172,1,bkash,3,9064.32
O000173,1,nagad,2,9201.63
O000174,1,nagad,1,9338.94
O000175,1,cash_on_delivery,1,9475.25
O000176,1,credit_card,5,1612.56
O000177,1,bkash,4,1749.87
O000178,1,bkash,3,1886.18
O000179,1,bkash,2,2023.49
O000180,1,nagad,1,2160.80
O000181,1,nagad,6,2297.11
O000182,1,cash_on_delivery,1,2434.42
O000183,1,cash_on_delivery,1,2571.73
O000184,1,credit_card,3,2708.04
O000185,1,bkash,2,2845.35
O000186,1,bkash,1,2982.66
O000187,1,bkash,6,3119.97
O000188,1,nagad,5,3256.28
O000189,1,nagad,4,3393.59
O000190,1,cash_on_delivery,1,3530.90
O000191,1,cash_on_delivery,1,3667.21
O000192,1,bank_transfer,1,3804.52
O000193,1,bkash,6,3941.83
O000194,1,bkash,5,4078.14
O000195,1,bkash,4,4215.45
O000196,1,nagad,3,4352.76
O000197,1,nagad,2,4489.07
O000198,1,cash_on_delivery,1,4626.38
O000199,1,credit_card,6,4763.69
O000200,1,bkash,5,4900.00
O000201,1,bkash,4,5037.31
O000202,1,bkash,3,5174.62
O000203,1,bkash,2,5311.93
O000204,1,nagad,1,5448.24
O000205,1,cash_on_delivery,1,5585.55
O000206,1,cash_on_delivery,1,5722.86
O000207,1,credit_card,4,5859.17
O000208,1,bkash,3,5996.48
O000209,1,bkash,2,6133.79
O000210,1,bkash,1,6270.10
O000211,1,nagad,6,6407.41
O000212,1,nagad,5,6544.72
O000213,1,cash_on_delivery,1,6681.03
O000214,1,cash_on_delivery,1,6818.34
O000215,1,bank_transfer,2,6955.65
O000216,1,bkash,1,7092.96
O000217,1,bkash,6,7229.27
O000218,1,bkash,5,7366.58
O000219,1,nagad,4,7503.89
O000220,1,nagad,3,7640.20
O000221,1,cash_on_delivery,1,7777.51
O000222,1,credit_card,1,7914.82
O000223,1,bank_transfer,6,8051.13
O000224,1,bkash,5,8188.44
O000225,1,bkash,4,8325.75
O000226,1,bkash,3,8462.06
O000227,1,nagad,2,8599.37
O000228,1,nagad,1,8736.68
O000229,1,cash_on_delivery,1,8873.99
O000230,1,credit_card,5,9010.30
O000231,1,bkash,4,9147.61
O000232,1,bkash,3,9284.92
O000233,1,bkash,2,9421.23
O000234,1,nagad,1,1558.54
O000235,1,nagad,6,1695.85
O000236,1,cash_on_delivery,1,1832.16
O000237,1,cash_on_delivery,1,1969.47
O000238,1,credit_card,3,2106.78
O000239,1,bkash,2,2243.09
O000240,1,bkash,1,2380.40
O000241,1,bkash,6,2517.71
O000242,1,nagad,5,2654.02
O000243,1,nagad,4,2791.33
O000244,1,cash_on_delivery,1,2928.64
O000245,1,credit_card,2,3065.95
O000246,1,bank_transfer,1,3202.26
O000247,1,bkash,6,3339.57
O000248,1,bkash,5,3476.88
O000249,1,bkash,4,3613.19
O000250,1,nagad,3,3750.50
O000251,1,nagad,2,3887.81
O000252,1,cash_on_delivery,1,4024.12
O000253,1,credit_card,6,4161.43
O000254,1,bkash,5,4298.74
O000255,1,bkash,4,4435.05
O000256,1,bkash,3,4572.36
O000257,1,nagad,2,4709.67
O000258,1,nagad,1,4846.98
O000259,1,cash_on_delivery,1,4983.29
O000260,1,cash_on_delivery,1,5120.60
O000261,1,credit_card,4,5257.91
O000262,1,bkash,3,5394.22
O000263,1,bkash,2,5531.53
O000264,1,bkash,1,5668.84
O000265,1,nagad,6,5805.15
O000266,1,nagad,5,5942.46
O000267,1,cash_on_delivery,1,6079.77
O000268,1,cash_on_delivery,1,6216.08
O000269,1,bank_transfer,2,6353.39
O000270,1,bkash,1,6490.70
O000271,1,bkash,6,6627.01
O000272,1,bkash,5,6764.32
O000273,1,nagad,4,6901.63
O000274,1,nagad,3,7038.94
O000275,1,cash_on_delivery,1,7175.25
O000276,1,credit_card,1,7312.56
O000277,1,bkash,6,7449.87
O000278,1,bkash,5,7586.18
O000279,1,bkash,4,7723.49
O000280,1,nagad,3,7860.80
O000281,1,nagad,2,7997.11
O000282,1,cash_on_delivery,1,8134.42
O000283,1,cash_on_delivery,1,8271.73
O000284,1,credit_card,5,8408.04
O000285,1,bkash,4,8545.35
O000286,1,bkash,3,8682.66
O000287,1,bkash,2,8819.97
O000288,1,nagad,1,8956.28
O000289,1,nagad,6,9093.59
O000290,1,cash_on_delivery,1,9230.90
O000291,1,cash_on_delivery,1,9367.21
O000292,1,bank_transfer,3,1504.52
O000293,1,bkash,2,1641.83
O000294,1,bkash,1,1778.14
O000295,1,bkash,6,1915.45
O000296,1,nagad,5,2052.76
O000297,1,nagad,4,2189.07
O000298,1,cash_on_delivery,1,2326.38
O000299,1,credit_card,2,2463.69
O000300,1,bkash,1,2600.00
O000301,1,bkash,6,2737.31
O000302,1,bkash,5,2874.62
O000303,1,bkash,4,3011.93
O000304,1,nagad,3,3148.24
O000305,1,cash_on_delivery,1,3285.55
O000306,1,cash_on_delivery,1,3422.86
O000307,1,credit_card,6,3559.17
O000308,1,bkash,5,3696.48
O000309,1,bkash,4,3833.79
O000310,1,bkash,3,3970.10
O000311,1,nagad,2,4107.41
O000312,1,nagad,1,4244.72
O000313,1,cash_on_delivery,1,4381.03
O000314,1,cash_on_delivery,1,4518.34
O000315,1,bank_transfer,4,4655.65
O000316,1,bkash,3,4792.96
O000317,1,bkash,2,4929.27
O000318,1,bkash,1,5066.58
O000319,1,nagad,6,5203.89
O000320,1,nagad,5,5340.20
O000321,1,cash_on_delivery,1,5477.51
O000322,1,credit_card,3,5614.82
O000323,1,bank_transfer,2,5751.13
O000324,1,bkash,1,5888.44
O000325,1,bkash,6,6025.75
O000326,1,bkash,5,6162.06
O000327,1,nagad,4,6299.37
O000328,1,nagad,3,6436.68
O000329,1,cash_on_delivery,1,6573.99
O000330,1,credit_card,1,6710.30
O000331,1,bkash,6,6847.61
O000332,1,bkash,5,6984.92
O000333,1,bkash,4,7121.23
O000334,1,nagad,3,7258.54
O000335,1,nagad,2,7395.85
O000336,1,cash_on_delivery,1,7532.16
O000337,1,cash_on_delivery,1,7669.47
O000338,1,credit_card,5,7806.78
O000339,1,bkash,4,7943.09
O000340,1,bkash,3,8080.40
O000341,1,bkash,2,8217.71
O000342,1,nagad,1,8354.02
O000343,1,nagad,6,8491.33
O000344,1,cash_on_delivery,1,8628.64
O000345,1,credit_card,4,8765.95
O000346,1,bank_transfer,3,8902.26
O000347,1,bkash,2,9039.57
O000348,1,bkash,1,9176.88
O000349,1,bkash,6,9313.19
O000350,1,nagad,5,9450.50
O000351,1,nagad,4,1587.81
O000352,1,cash_on_delivery,1,1724.12
O000353,1,credit_card,2,1861.43
O000354,1,bkash,1,1998.74
O000355,1,bkash,6,2135.05
O000356,1,bkash,5,2272.36
O000357,1,nagad,4,2409.67
O000358,1,nagad,3,2546.98
O000359,1,cash_on_delivery,1,2683.29
O000360,1,cash_on_delivery,1,2820.60
O000361,1,credit_card,6,2957.91
O000362,1,bkash,5,3094.22
O000363,1,bkash,4,3231.53
O000364,1,bkash,3,3368.84
O000365,1,nagad,2,3505.15
O000366,1,nagad,1,3642.46
O000367,1,cash_on_delivery,1,3779.77
O000368,1,cash_on_delivery,1,3916.08
O000369,1,bank_transfer,4,4053.39
O000370,1,bkash,3,4190.70
O000371,1,bkash,2,4327.01
O000372,1,bkash,1,4464.32
O000373,1,nagad,6,4601.63
O000374,1,nagad,5,4738.94
O000375,1,cash_on_delivery,1,4875.25
O000376,1,credit_card,3,5012.56
O000377,1,bkash,2,5149.87
O000378,1,bkash,1,5286.18
O000379,1,bkash,6,5423.49
O000380,1,nagad,5,5560.80
O000381,1,nagad,4,5697.11
O000382,1,cash_on_delivery,1,5834.42
O000383,1,cash_on_delivery,1,5971.73
O000384,1,credit_card,1,6108.04
O000385,1,bkash,6,6245.35
O000386,1,bkash,5,6382.66
O000387,1,bkash,4,6519.97
O000388,1,nagad,3,6656.28
O000389,1,nagad,2,6793.59
O000390,1,cash_on_delivery,1,6930.90
O000391,1,cash_on_delivery,1,7067.21
O000392,1,bank_transfer,5,7204.52
O000393,1,bkash,4,7341.83
O000394,1,bkash,3,7478.14
O000395,1,bkash,2,7615.45
O000396,1,nagad,1,7752.76
O000397,1,nagad,6,7889.07
O000398,1,cash_on_delivery,1,8026.38
O000399,1,credit_card,4,8163.69
O000400,1,bkash,3,8300.00
O000401,1,bkash,2,8437.31
O000402,1,bkash,1,8574.62
O000403,1,bkash,6,8711.93
O000404,1,nagad,5,8848.24
O000405,1,cash_on_delivery,1,8985.55
O000406,1,cash_on_delivery,1,9122.86
O000407,1,credit_card,2,9259.17
O000408,1,bkash,1,9396.48
O000409,1,bkash,6,1533.79
O000410,1,bkash,5,1670.10
O000411,1,nagad,4,1807.41
O000412,1,nagad,3,1944.72
O000413,1,cash_on_delivery,1,2081.03
O000414,1,cash_on_delivery,1,2218.34
O000415,1,bank_transfer,6,2355.65
O000416,1,bkash,5,2492.96
O000417,1,bkash,4,2629.27
O000418,1,bkash,3,2766.58
O000419,1,nagad,2,2903.89
O000420,1,nagad,1,3040.20
O000421,1,cash_on_delivery,1,3177.51
O000422,1,credit_card,5,3314.82
O000423,1,bank_transfer,4,3451.13
O000424,1,bkash,3,3588.44
O000425,1,bkash,2,3725.75
O000426,1,bkash,1,3862.06
O000427,1,nagad,6,3999.37
O000428,1,nagad,5,4136.68
O000429,1,cash_on_delivery,1,4273.99
O000430,1,credit_card,3,4410.30
O000431,1,bkash,2,4547.61
O000432,1,bkash,1,4684.92
O000433,1,bkash,6,4821.23
O000434,1,nagad,5,4958.54
O000435,1,nagad,4,5095.85
O000436,1,cash_on_delivery,1,5232.16
O000437,1,cash_on_delivery,1,5369.47
O000438,1,credit_card,1,5506.78
O000439,1,bkash,6,5643.09
O000440,1,bkash,5,5780.40
O000441,1,bkash,4,5917.71
O000442,1,nagad,3,6054.02
O000443,1,nagad,2,6191.33
O000444,1,cash_on_delivery,1,6328.64
O000445,1,credit_card,6,6465.95
O000446,1,bank_transfer,5,6602.26
O000447,1,bkash,4,6739.57
O000448,1,bkash,3,6876.88
O000449,1,bkash,2,7013.19
O000450,1,nagad,1,7150.50
O000451,1,nagad,6,7287.81
O000452,1,cash_on_delivery,1,7424.12
O000453,1,credit_card,4,7561.43
O000454,1,bkash,3,7698.74
O000455,1,bkash,2,7835.05
O000456,1,bkash,1,7972.36
O000457,1,nagad,6,8109.67
O000458,1,nagad,5,8246.98
O000459,1,cash_on_delivery,1,8383.29
O000460,1,cash_on_delivery,1,8520.60
O000461,1,credit_card,2,8657.91
O000462,1,bkash,1,8794.22
O000463,1,bkash,6,8931.53
O000464,1,bkash,5,9068.84
O000465,1,nagad,4,9205.15
O000466,1,nagad,3,9342.46
O000467,1,cash_on_delivery,1,9479.77
O000468,1,cash_on_delivery,1,1616.08
O000469,1,bank_transfer,6,1753.39
O000470,1,bkash,5,1890.70
O000471,1,bkash,4,2027.01
O000472,1,bkash,3,2164.32
O000473,1,nagad,2,2301.63
O000474,1,nagad,1,2438.94
O000475,1,cash_on_delivery,1,2575.25
O000476,1,credit_card,5,2712.56
O000477,1,bkash,4,2849.87
O000478,1,bkash,3,2986.18
O000479,1,bkash,2,3123.49
O000480,1,nagad,1,3260.80
O000481,1,nagad,6,3397.11
O000482,1,cash_on_delivery,1,3534.42
O000483,1,cash_on_delivery,1,3671.73
O000484,1,credit_card,3,3808.04
O000485,1,bkash,2,3945.35
O000486,1,bkash,1,4082.66
O000487,1,bkash,6,4219.97
O000488,1,nagad,5,4356.28
O000489,1,nagad,4,4493.59
O000490,1,cash_on_delivery,1,4630.90
O000491,1,cash_on_delivery,1,4767.21
O000492,1,bank_transfer,1,4904.52
O000493,1,bkash,6,5041.83
O000494,1,bkash,5,5178.14
O000495,1,bkash,4,5315.45
O000496,1,nagad,3,5452.76
O000497,1,nagad,2,5589.07
O000498,1,cash_on_delivery,1,5726.38
O000499,1,credit_card,6,5863.69
O000500,1,bkash,5,6000.00
O000501,1,bkash,4,6137.31
O000502,1,bkash,3,6274.62
O000503,1,bkash,2,6411.93
O000504,1,nagad,1,6548.24
O000505,1,cash_on_delivery,1,6685.55
O000506,1,cash_on_delivery,1,6822.86
O000507,1,credit_card,4,6959.17
O000508,1,bkash,3,7096.48
O000509,1,bkash,2,7233.79
O000510,1,bkash,1,7370.10
O000511,1,nagad,6,7507.41
O000512,1,nagad,5,7644.72
O000513,1,cash_on_delivery,1,7781.03
O000514,1,cash_on_delivery,1,7918.34
O000515,1,bank_transfer,2,8055.65
O000516,1,bkash,1,8192.96
O000517,1,bkash,6,8329.27
O000518,1,bkash,5,8466.58
O000519,1,nagad,4,8603.89
O000520,1,nagad,3,8740.20
O000521,1,cash_on_delivery,1,8877.51
O000522,1,credit_card,1,9014.82
O000523,1,bank_transfer,6,9151.13
O000524,1,bkash,5,9288.44
O000525,1,bkash,4,9425.75
O000526,1,bkash,3,1562.06
O000527,1,nagad,2,1699.37
O000528,1,nagad,1,1836.68
O000529,1,cash_on_delivery,1,1973.99
O000530,1,credit_card,5,2110.30
O000531,1,bkash,4,2247.61
O000532,1,bkash,3,2384.92
O000533,1,bkash,2,2521.23
O000534,1,nagad,1,2658.54
O000535,1,nagad,6,2795.85
O000536,1,cash_on_delivery,1,2932.16
O000537,1,cash_on_delivery,1,3069.47
O000538,1,credit_card,3,3206.78
O000539,1,bkash,2,3343.09
O000540,1,bkash,1,3480.40
O000541,1,bkash,6,3617.71
O000542,1,nagad,5,3754.02
O000543,1,nagad,4,3891.33
O000544,1,cash_on_delivery,1,4028.64
O000545,1,credit_card,2,4165.95
O000546,1,bank_transfer,1,4302.26
O000547,1,bkash,6,4439.57
O000548,1,bkash,5,4576.88
O000549,1,bkash,4,4713.19
O000550,1,nagad,3,4850.50
O000551,1,nagad,2,4987.81
O000552,1,cash_on_delivery,1,5124.12
O000553,1,credit_card,6,5261.43
O000554,1,bkash,5,5398.74
O000555,1,bkash,4,5535.05
O000556,1,bkash,3,5672.36
O000557,1,nagad,2,5809.67
O000558,1,nagad,1,5946.98
O000559,1,cash_on_delivery,1,6083.29
O000560,1,cash_on_delivery,1,6220.60
O000561,1,credit_card,4,6357.91
O000562,1,bkash,3,6494.22
O000563,1,bkash,2,6631.53
O000564,1,bkash,1,6768.84
O000565,1,nagad,6,6905.15
O000566,1,nagad,5,7042.46
O000567,1,cash_on_delivery,1,7179.77
O000568,1,cash_on_delivery,1,7316.08
O000569,1,bank_transfer,2,7453.39
O000570,1,bkash,1,7590.70
O000571,1,bkash,6,7727.01
O000572,1,bkash,5,7864.32
O000573,1,nagad,4,8001.63
O000574,1,nagad,3,8138.94
O000575,1,cash_on_delivery,1,8275.25
O000576,1,credit_card,1,8412.56
O000577,1,bkash,6,8549.87
O000578,1,bkash,5,8686.18
O000579,1,bkash,4,8823.49
O000580,1,nagad,3,8960.80
O000581,1,nagad,2,9097.11
O000582,1,cash_on_delivery,1,9234.42
O000583,1,cash_on_delivery,1,9371.73
O000584,1,credit_card,5,1508.04
O000585,1,bkash,4,1645.35
O000586,1,bkash,3,1782.66
O000587,1,bkash,2,1919.97
O000588,1,nagad,1,2056.28
O000589,1,nagad,6,2193.59
O000590,1,cash_on_delivery,1,2330.90
O000591,1,cash_on_delivery,1,2467.21
O000592,1,bank_transfer,3,2604.52
O000593,1,bkash,2,2741.83
O000594,1,bkash,1,2878.14
O000595,1,bkash,6,3015.45
O000596,1,nagad,5,3152.76
O000597,1,nagad,4,3289.07
O000598,1,cash_on_delivery,1,3426.38
O000599,1,credit_card,2,3563.69
O000600,1,bkash,1,3700.00
O000601,1,bkash,6,3837.31
O000602,1,bkash,5,3974.62
O000603,1,bkash,4,4111.93
O000604,1,nagad,3,4248.24
O000605,1,cash_on_delivery,1,4385.55
O000606,1,cash_on_delivery,1,4522.86
O000607,1,credit_card,6,4659.17
O000608,1,bkash,5,4796.48
O000609,1,bkash,4,4933.79
O000610,1,bkash,3,5070.10
O000611,1,nagad,2,5207.41
O000612,1,nagad,1,5344.72
O000613,1,cash_on_delivery,1,5481.03
O000614,1,cash_on_delivery,1,5618.34
O000615,1,bank_transfer,4,5755.65
O000616,1,bkash,3,5892.96
O000617,1,bkash,2,6029.27
O000618,1,bkash,1,6166.58
O000619,1,nagad,6,6303.89
O000620,1,nagad,5,6440.20
O000621,1,cash_on_delivery,1,6577.51
O000622,1,credit_card,3,6714.82
O000623,1,bank_transfer,2,6851.13
O000624,1,bkash,1,6988.44
O000625,1,bkash,6,7125.75
O000626,1,bkash,5,7262.06
O000627,1,nagad,4,7399.37
O000628,1,nagad,3,7536.68
O000629,1,cash_on_delivery,1,7673.99
O000630,1,credit_card,1,7810.30
O000631,1,bkash,6,7947.61
O000632,1,bkash,5,8084.92
O000633,1,bkash,4,8221.23
O000634,1,nagad,3,8358.54
O000635,1,nagad,2,8495.85
O000636,1,cash_on_delivery,1,8632.16
O000637,1,cash_on_delivery,1,8769.47
O000638,1,credit_card,5,8906.78
O000639,1,bkash,4,9043.09
O000640,1,bkash,3,9180.40
O000641,1,bkash,2,9317.71
O000642,1,nagad,1,9454.02
O000643,1,nagad,6,1591.33
O000644,1,cash_on_delivery,1,1728.64
O000645,1,credit_card,4,1865.95
O000646,1,bank_transfer,3,2002.26
O000647,1,bkash,2,2139.57
O000648,1,bkash,1,2276.88
O000649,1,bkash,6,2413.19
O000650,1,nagad,5,2550.50
O000651,1,nagad,4,2687.81
O000652,1,cash_on_delivery,1,2824.12
O000653,1,credit_card,2,2961.43
O000654,1,bkash,1,3098.74
O000655,1,bkash,6,3235.05
O000656,1,bkash,5,3372.36
O000657,1,nagad,4,3509.67
O000658,1,nagad,3,3646.98
O000659,1,cash_on_delivery,1,3783.29
O000660,1,cash_on_delivery,1,3920.60
O000661,1,credit_card,6,4057.91
O000662,1,bkash,5,4194.22
O000663,1,bkash,4,4331.53
O000664,1,bkash,3,4468.84
O000665,1,nagad,2,4605.15
O000666,1,nagad,1,4742.46
O000667,1,cash_on_delivery,1,4879.77
O000668,1,cash_on_delivery,1,5016.08
O000669,1,bank_transfer,4,5153.39
O000670,1,bkash,3,5290.70
O000671,1,bkash,2,5427.01
O000672,1,bkash,1,5564.32
O000673,1,nagad,6,5701.63
O000674,1,nagad,5,5838.94
O000675,1,cash_on_delivery,1,5975.25
O000676,1,credit_card,3,6112.56
O000677,1,bkash,2,6249.87
O000678,1,bkash,1,6386.18
O000679,1,bkash,6,6523.49
O000680,1,nagad,5,6660.80
O000681,1,nagad,4,6797.11
O000682,1,cash_on_delivery,1,6934.42
O000683,1,cash_on_delivery,1,7071.73
O000684,1,credit_card,1,7208.04
O000685,1,bkash,6,7345.35
O000686,1,bkash,5,7482.66
O000687,1,bkash,4,7619.97
O000688,1,nagad,3,7756.28
O000689,1,nagad,2,7893.59
O000690,1,cash_on_delivery,1,8030.90
O000691,1,cash_on_delivery,1,8167.21
O000692,1,bank_transfer,5,8304.52
O000693,1,bkash,4,8441.83
O000694,1,bkash,3,8578.14
O000695,1,bkash,2,8715.45
O000696,1,nagad,1,8852.76
O000697,1,nagad,6,8989.07
O000698,1,cash_on_delivery,1,9126.38
O000699,1,credit_card,4,9263.69
O000700,1,bkash,3,9400.00
O000701,1,bkash,2,1537.31
O000702,1,bkash,1,1674.62
O000703,1,bkash,6,1811.93
O000704,1,nagad,5,1948.24
O000705,1,cash_on_delivery,1,2085.55
O000706,1,cash_on_delivery,1,2222.86
O000707,1,credit_card,2,2359.17
O000708,1,bkash,1,2496.48
O000709,1,bkash,6,2633.79
O000710,1,bkash,5,2770.10
O000711,1,nagad,4,2907.41
O000712,1,nagad,3,3044.72
O000713,1,cash_on_delivery,1,3181.03
O000714,1,cash_on_delivery,1,3318.34
O000715,1,bank_transfer,6,3455.65
O000716,1,bkash,5,3592.96
O000717,1,bkash,4,3729.27
O000718,1,bkash,3,3866.58
O000719,1,nagad,2,4003.89
O000720,1,nagad,1,4140.20
O000721,1,cash_on_delivery,1,4277.51
O000722,1,credit_card,5,4414.82
O000723,1,bank_transfer,4,4551.13
O000724,1,bkash,3,4688.44
O000725,1,bkash,2,4825.75
O000726,1,bkash,1,4962.06
O000727,1,nagad,6,5099.37
O000728,1,nagad,5,5236.68
O000729,1,cash_on_delivery,1,5373.99
O000730,1,credit_card,3,5510.30
O000731,1,bkash,2,5647.61
O000732,1,bkash,1,5784.92
O000733,1,bkash,6,5921.23
O000734,1,nagad,5,6058.54
O000735,1,nagad,4,6195.85
O000736,1,cash_on_delivery,1,6332.16
O000737,1,cash_on_delivery,1,6469.47
O000738,1,credit_card,1,6606.78
O000739,1,bkash,6,6743.09
O000740,1,bkash,5,6880.40
O000741,1,bkash,4,7017.71
O000742,1,nagad,3,7154.02
O000743,1,nagad,2,7291.33
O000744,1,cash_on_delivery,1,7428.64
O000745,1,credit_card,6,7565.95
O000746,1,bank_transfer,5,7702.26
O000747,1,bkash,4,7839.57
O000748,1,bkash,3,7976.88
O000749,1,bkash,2,8113.19
O000750,1,nagad,1,8250.50
O000751,1,nagad,6,8387.81
O000752,1,cash_on_delivery,1,8524.12
O000753,1,credit_card,4,8661.43
O000754,1,bkash,3,8798.74
O000755,1,bkash,2,8935.05
O000756,1,bkash,1,9072.36
O000757,1,nagad,6,9209.67
O000758,1,nagad,5,9346.98
O000759,1,cash_on_delivery,1,9483.29
O000760,1,cash_on_delivery,1,1620.60
O000761,1,credit_card,2,1757.91
O000762,1,bkash,1,1894.22
O000763,1,bkash,6,2031.53
