product_id,product_name,category,unit_price_bdt,weight_g,length_cm,height_cm,width_cm
P0081,Cotton Panjabi 5,fashion_apparel,2976.30,3769,66,46,18
P0082,Premium Hoodie 5,fashion_accessories,4206.50,1540,20,21,37
P0083,Denim Jacket 5,fashion_apparel,5508.50,2895,21,18,48
P0084,Everyday Backpack 5,fashion_accessories,2180.80,1781,28,4,7
P0085,Wireless Earbuds 5,electronics_accessories,8369.10,746,68,29,45
P0086,Smart Watch 5,electronics_accessories,1934.60,3295,73,28,20
P0087,Kitchen Organizer 5,home_kitchen,5696.90,195,23,30,19
P0088,Desk Lamp 5,home_decor,6903.50,4393,69,6,40
P0089,Running Shoes 5,footwear,7827.40,1144,68,11,56
P0090,Yoga Mat 5,health_beauty,5790.80,2749,66,42,57
P0091,Coffee Maker 5,home_kitchen,7620.00,3645,80,31,15
P0092,Phone Case 5,electronics_accessories,7371.20,3836,43,18,58
P0093,Bluetooth Speaker 5,electronics_accessories,2610.10,4420,72,43,20
P0094,Office Chair 5,home_furniture,3935.00,2490,40,20,26
P0095,Travel Mug 5,home_kitchen,7628.20,810,27,12,19
P0096,LED Strip Light 5,home_decor,6005.70,1902,18,29,31
P0097,Hair Dryer 5,health_beauty,4772.30,3556,17,16,58
P0098,Makeup Kit 5,health_beauty,3524.20,310,58,33,5
P0099,Garden Tool Set 5,garden_outdoor,2783.70,3344,63,37,52
P0100,Kids Building Set 5,toys_games,4801.00,1956,72,17,22
